"ID","ID_litter","Size","litt_size","sex","group","IgGJ2","TPI","Died","Diarr","Age_D1","AgeD2","hospit","InfCroissPed","InfCroiss4","InfCroiss5","InfCroiss6","InfCroiss7","InfCroiss8","Min1inflcr","TRD21","TRD22","TRD23","TRD24","TRD25","TRD26","TRD27","TRD28","TRD29","TRD30","TRD31","TRD32","TRD33","TRD34","TRD35","TRD36","TRD37","TRD38","TRD39","TRD40","TRD41","TRD42","TRD43","TRD44","TRD45","TRD46","TRD47","TRD48","TRD49","TRD50","TRD51","TRD52","TRD53","TRD54","TRD55","TRD56"
"L33E","33","L","7","M","L","0,8","0","0","0","NA","NA","0","0","0","0","0","1","1","1","37.1","37.9","37.4","37.7","38.0","38.1","38.1","37.5","38.4","38.3","38.2","38.0","38.2","38.4","38.3","38.1","38.2","37.6","37.8","37.7","38.4","38.3","38.0","38.1","38.1","38.2","38.4","38.1","38.8","38.2","38.4","38.8","38.5","37.6","38.3","38.6"
"L34B","34","L","3","M","C","5,01","1","0","1","27","35","1","1","1","1","0","0","0","1","38.5","38.8","38.0","38.8","38.0","38.1","38.4","38.3","38.3","38.2","37.2","38.0","38.1","38.4","38.8","38.3","38.3","38.6","38.1","38.0","NA","38.6","38.2","38.0","38.0","38.1","38.6","NA","38.3","38.5","38.5","NA","38.9","38.1","37.6","38.5"
"L35C","35","S","3","F","L","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","36.3","36.8","36.9","37.4","37.7","37.4","37.7","37.1","37.3","37.4","37.9","37.7","38.1","37.9","37.5","38.0","37.8","37.6","38.1","37.4","38.2","37.3","38.3","38.0","38.0","38.3","38.3","37.9","38.1","37.7","37.9","38.0","38.4","38.3","38.1","37.9"
"L35E","35","S","3","F","C","NA","NA","0","0","NA","NA","0","0","0","1","1","0","0","1","36.7","37.3","36.9","37.6","37.4","37.4","37.8","37.7","37.5","37.5","37.8","37.8","38.0","38.7","40.4","39.7","39.9","37.0","37.1","36.5","37.9","38.0","37.6","37.6","37.9","38.4","37.8","37.6","38.2","37.9","38.1","37.3","38.3","38.2","38.0","37.9"
"L36B","36","S","6","M","L","6,96","1","0","0","NA","NA","0","0","0","0","0","0","0","0","36.7","37.5","37.9","37.5","37.8","37.8","37.4","38.2","38.5","38.3","37.8","38.1","38.4","38.1","38.3","38.2","38.4","38.3","38.1","37.7","38.7","38.1","38.4","38.6","38.4","38.6","38.2","38.5","39.1","38.0","38.4","37.9","38.4","38.8","NA","38.9"
"L36C","36","S","6","M","C","3,94","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.3","37.6","37.7","37.5","37.8","37.7","37.5","38.0","37.9","38.4","37.7","38.1","38.1","38.1","38.4","38.0","38.1","38.1","37.9","37.8","38.4","38.2","38.2","38.2","NA","38.3","38.5","38.1","38.6","38.8","38.5","38.6","38.2","38.7","NA","38.5"
"L36E","36","S","6","F","L","6,41","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.4","37.3","37.5","37.8","37.8","38.0","37.6","37.8","38.4","38.4","38.0","38.5","38.1","38.3","38.2","38.2","38.3","37.9","38.1","38.1","38.2","38.2","38.2","38.5","37.9","38.5","38.1","38.3","38.4","38.6","38.2","38.7","38.3","38.9","NA","39.4"
"L37B","37","S","4","M","L","3,77","1","0","0","NA","NA","0","0","0","0","1","0","0","1","37.4","37.3","37.3","37.4","37.5","37.6","37.8","37.4","37.8","38.2","38.2","38.1","37.7","NA","37.9","37.8","37.8","38.1","38.1","38.2","38.2","38.0","38.1","38.4","37.7","38.2","38.1","38.1","37.9","38.6","38.0","38.1","38.1","38.2","NA","38.0"
"L37D","37","S","4","M","L","2,84","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.0","36.9","36.9","37.2","36.9","NA","37.1","37.1","37.4","37.8","37.6","37.6","37.2","38.3","37.4","37.8","39.0","38.5","37.7","38.0","37.9","38.1","37.8","38.4","37.9","38.1","37.7","37.9","37.9","38.1","38.2","38.4","38.1","37.7","NA","38.5"
"L38A","38","S","3","F","L","4,38","1","0","0","NA","NA","0","1","1","1","0","0","0","1","37.1","37.7","37.5","37.2","37.0","37.5","37.8","37.6","37.8","38.0","37.7","37.8","37.6","38.1","38.0","38.0","38.1","37.6","37.8","38.4","37.7","38.6","38.3","38.4","39.3","38.1","37.7","38.5","38.1","38.5","38.6","38.5","38.2","38.4","NA","NA"
"L38B","38","S","3","M","C","3,23","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.3","37.5","37.6","37.8","37.7","37.4","37.5","36.7","37.7","38.0","37.7","37.5","37.8","37.9","38.0","38.1","38.5","38.5","37.9","38.0","37.9","38.3","38.6","38.5","39.1","38.1","37.7","38.1","38.8","38.3","38.6","38.6","39.0","38.8","NA","NA"
"L39A","39","L","7","M","C","0,73","0","0","0","NA","NA","0","0","1","0","0","0","0","1","37.4","37.6","38.5","38.1","38.0","37.7","37.9","37.3","38.2","38.2","37.8","37.9","38.3","38.0","37.8","38.3","37.6","37.6","37.5","38.0","38.3","38.1","38.1","38.8","38.3","38.4","38.0","38.0","37.5","38.3","38.5","39.2","38.4","38.4","38.9","38.4"
"L39B","39","L","7","M","L","3,65","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.1","37.1","37.7","37.8","37.8","37.3","37.6","37.2","38.0","38.0","38.8","38.2","38.0","38.0","36.8","37.8","37.6","37.3","37.5","38.2","37.4","37.9","38.1","37.9","37.9","38.3","38.6","38.2","37.8","37.9","38.9","38.5","38.2","38.1","38.6","38.5"
"L39G","39","L","7","M","L","4,57","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.0","37.0","37.1","37.6","37.6","36.7","37.9","37.3","38.5","37.3","38.0","38.1","38.2","38.4","37.6","38.5","38.0","37.9","37.9","38.6","38.1","38.3","38.4","37.5","38.3","38.0","38.2","37.6","38.2","38.1","39.4","39.2","38.7","38.5","38.6","38.6"
"L39H","39","L","7","F","C","4,99","1","0","1","52","NA","1","0","0","0","0","0","1","1","36.9","37.5","37.5","37.9","37.3","37.3","37.2","37.0","37.9","37.2","38.3","38.2","37.6","38.2","37.3","38.6","38.2","38.1","37.9","38.6","38.1","39.2","38.3","38.4","38.3","38.1","38.4","38.4","38.2","39.8","38.9","38.8","NA","NA","NA","NA"
"L40A","40","S","5","F","C","7,26","1","1","1","47","NA","1","NA","0","0","0","NA","NA","NA","37.4","37.6","37.4","37.7","37.5","37.5","37.2","37.8","37.9","37.8","37.9","38.0","37.9","37.8","37.9","38.0","37.8","38.3","38.1","38.1","38.1","38.0","38.5","38.4","39.1","38.4","37.6","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"L40C","40","S","5","M","L","8,11","1","0","1","47","NA","1","1","0","0","0","1","0","1","37.3","37.5","37.6","37.4","37.5","37.6","37.6","37.5","37.8","37.8","38.0","38.4","37.9","38.3","37.7","38.2","38.2","38.1","37.9","38.3","37.8","38.9","38.3","38.5","38.8","38.6","37.8","37.1","38.2","38.5","38.4","38.6","38.4","38.1","NA","NA"
"L40E","40","S","5","M","C","8,26","1","0","1","47","NA","1","0","0","0","0","1","0","1","37.0","37.3","37.6","37.4","37.4","37.7","37.4","37.7","37.7","38.2","39.8","38.4","37.6","NA","37.6","37.8","37.9","37.5","37.7","38.2","38.0","37.4","38.0","NA","NA","38.5","38.6","38.3","37.6","38.3","38.8","38.4","38.0","38.0","NA","NA"
"L41C","41","L","8","F","C","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","37.2","37.2","37.1","37.7","37.9","37.8","38.1","37.9","37.9","38.0","38.1","38.2","38.2","38.3","38.3","38.4","37.9","37.8","38.5","38.2","38.0","38.7","38.6","38.9","38.9","38.8","38.8","37.8","38.6","38.1","38.3","38.5","38.5","38.3","NA","38.6"
"L41D","41","L","8","F","L","0,46","0","0","0","NA","NA","0","0","0","0","0","0","0","0","37.3","37.0","37.7","38.1","37.2","NA","37.8","37.9","37.8","38.0","37.9","37.7","38.3","37.7","38.1","38.6","38.5","37.9","38.2","38.5","38.3","38.7","38.6","38.5","38.7","38.4","37.8","37.9","38.5","38.1","37.9","38.2","38.4","38.8","NA","39.2"
"L41G","41","L","8","M","L","0,52","0","0","0","NA","NA","0","0","0","0","0","0","0","0","37.2","37.6","37.8","37.6","37.8","37.7","37.6","37.8","37.5","37.9","38.3","37.7","37.9","37.5","38.6","37.9","37.4","38.0","38.0","38.2","38.1","38.8","38.3","38.5","38.2","38.4","38.1","38.3","38.6","38.4","38.1","38.6","38.7","38.6","NA","38.7"
"L41H","41","L","8","F","L","1,99","0","0","0","NA","NA","0","0","0","0","0","1","0","1","37.4","37.6","37.8","37.7","37.8","37.5","38.0","37.9","38.1","38.1","37.8","37.9","38.3","38.0","38.4","NA","38.0","38.0","38.2","38.6","38.2","38.8","NA","38.6","38.7","37.9","37.7","37.9","39.2","38.3","38.2","38.4","38.4","38.2","NA","38.5"
"L42C","42","M","6","F","L","3,67","1","0","0","NA","NA","0","1","0","0","0","1","1","1","37.4","37.8","37.5","37.9","37.8","37.7","38.0","37.8","37.7","37.8","37.7","38.1","38.3","37.8","38.1","38.7","38.2","38.7","38.2","38.4","38.5","38.3","38.5","38.4","38.8","37.6","37.9","38.7","38.6","38.7","38.5","38.5","39.0","39.6","37.8","38.2"
"L42D","42","M","6","M","C","2,04","0","0","0","NA","NA","0","1","0","0","0","0","1","1","37.3","37.3","37.8","37.3","37.8","37.9","37.9","37.3","38.0","38.1","38.1","38.1","38.3","37.7","38.0","38.5","38.4","38.1","39.2","38.8","38.7","37.9","38.5","38.8","38.5","38.9","38.6","38.2","38.4","38.7","38.7","39.7","38.6","38.2","37.1","38.6"
"L42F","42","M","6","M","C","2,92","1","0","0","NA","NA","0","0","1","0","0","0","1","1","37.7","37.5","38.1","37.6","37.6","37.9","38.0","37.1","37.5","38.1","37.1","38.5","38.6","38.0","38.6","38.4","38.0","38.3","38.1","38.7","38.3","37.6","38.2","38.2","38.1","38.9","38.4","38.6","38.4","38.7","37.7","38.6","39.6","39.7","38.6","38.2"
"L43C","43","M","5","M","L","0,68","0","0","0","NA","NA","0","0","0","0","0","0","0","0","37.7","37.7","37.4","37.9","37.9","38.3","37.9","37.8","37.8","38.1","37.8","37.4","38.0","38.0","38.1","38.3","38.1","37.9","39.4","39.4","37.8","38.3","37.8","38.7","37.8","39.1","38.6","37.9","37.8","38.6","38.9","38.7","39.0","38.5","39.3","38.7"
"L43F","43","M","5","F","L","0,54","0","0","0","NA","NA","0","0","0","1","0","1","0","1","37.4","37.7","38.2","38.1","38.3","38.3","37.6","38.0","38.0","38.3","38.2","38.8","39.6","38.7","38.2","38.5","38.2","37.6","37.2","38.6","38.5","39.1","38.0","38.9","37.9","38.9","39.2","38.2","38.3","39.0","38.7","38.0","38.9","39.1","39.0","38.7"
"L44A","44","S","3","M","C","1,83","0","0","0","NA","NA","0","0","0","0","0","0","0","0","NA","37.4","37.2","37.9","37.2","37.9","37.9","37.5","38.0","37.8","37.7","37.7","38.0","37.7","37.5","37.8","38.1","37.8","37.9","38.1","37.9","37.9","37.7","38.1","38.2","38.5","38.5","38.6","38.4","38.3","38.2","38.1","38.1","38.1","38.0","38.2"
"L44D","44","S","3","F","L","1,6","0","0","1","49","NA","0","0","0","0","0","0","1","1","36.4","37.2","37.5","37.1","37.7","37.8","37.5","37.5","38.1","38.1","37.4","38.0","37.7","37.8","37.2","37.7","NA","37.9","37.5","38.2","37.7","37.5","38.0","38.3","38.1","38.2","38.0","37.7","38.5","38.3","38.2","38.4","39.7","38.3","38.0","37.7"
"L44G","44","S","3","M","C","2,78","1","0","1","56","NA","0","0","0","0","0","0","1","1","36.7","37.3","37.2","37.9","37.8","38.1","37.8","37.3","38.0","38.1","37.9","37.8","38.3","37.8","37.5","37.8","38.0","37.7","38.2","38.0","37.6","38.1","38.1","38.5","38.5","37.3","38.1","38.2","38.5","38.4","38.2","39.4","38.7","37.8","38.2","38.2"
"L45B","45","S","4","F","C","7,98","1","1","0","NA","NA","0","0","0","0","0","0","0","0","36.9","37.3","37.6","37.6","37.7","38.0","37.6","37.5","37.8","37.9","38.1","37.6","37.9","38.2","38.6","37.5","38.4","38.0","37.7","38.3","38.1","38.1","37.9","37.8","38.3","38.4","38.2","38.2","38.2","38.0","37.6","38.6","38.1","38.1","37.8","38.6"
"L46A","46","S","6","F","L","0,75","0","0","0","NA","NA","0","0","0","0","0","0","0","0","36.6","36.9","36.5","37.7","37.5","37.3","37.1","37.5","37.5","37.4","37.7","37.5","37.7","37.6","37.8","37.8","37.9","38.1","37.7","38.4","38.3","38.3","37.9","38.2","37.9","38.2","38.1","38.0","37.6","38.5","37.5","38.5","38.2","38.3","NA","39.1"
"L46C","46","S","6","M","C","4,49","1","0","0","NA","NA","0","0","0","0","0","0","1","1","37.2","37.5","37.8","37.8","37.6","37.8","37.6","37.9","38.0","38.4","37.8","37.5","37.9","37.8","37.5","38.2","38.5","38.1","38.0","38.6","38.6","38.2","37.9","38.3","38.3","38.3","37.7","38.2","37.8","38.2","38.2","38.0","38.2","38.3","NA","37.8"
"L47A","47","S","8","M","L","4,18","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.5","38.1","37.4","37.6","38.1","37.8","37.3","37.8","37.4","38.0","37.7","37.7","37.9","37.7","38.0","38.3","37.7","38.0","37.8","37.8","38.4","38.4","37.7","38.0","38.0","37.9","38.5","38.8","37.6","38.2","38.6","38.1","38.2","38.7","NA","38.6"
"L47C","47","S","8","M","C","3,32","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.2","38.0","37.4","38.2","38.4","37.8","37.6","37.7","38.0","38.0","37.9","37.9","37.7","37.9","38.0","38.2","38.3","38.2","38.2","38.2","38.7","37.6","38.0","38.4","38.4","38.4","38.4","38.5","38.2","39.0","38.4","38.3","38.4","38.8","NA","38.4"
"L47E","47","S","8","M","C","4,35","1","0","0","NA","NA","0","0","1","0","0","0","0","1","36.4","37.7","37.3","37.8","37.9","38.0","37.5","37.7","37.8","37.8","38.0","38.2","38.3","38.0","37.5","38.1","38.3","37.8","38.1","37.8","38.2","38.1","38.0","38.0","38.1","38.2","38.4","38.8","37.7","38.6","39.0","37.8","38.5","38.6","NA","38.8"
"L47H","47","S","8","M","L","2,59","1","0","0","NA","NA","0","0","0","1","0","0","0","1","37.2","37.8","37.4","38.2","38.0","37.6","37.6","37.8","37.9","37.8","37.9","37.7","38.0","37.9","37.6","38.1","37.8","37.9","37.6","38.6","38.9","38.6","38.0","39.6","38.2","38.3","38.8","38.2","37.7","38.6","39.1","38.3","38.6","38.8","NA","38.0"
"L48C","48","S","4","F","L","5,75","1","1","1","56","NA","0","0","0","0","0","0","0","0","36.8","37.3","37.4","37.5","37.6","37.5","37.4","37.3","37.4","37.6","37.7","37.8","38.1","38.1","37.9","37.8","38.6","37.8","38.3","38.1","38.4","38.1","38.1","38.3","38.1","38.2","38.3","38.6","38.5","38.2","38.1","37.9","38.1","37.8","38.0","39.1"
"L48E","48","S","4","F","C","4,98","1","0","1","49","56","0","0","0","0","0","0","1","1","36.6","37.5","37.5","37.6","39.9","37.9","37.9","37.8","38.0","37.8","38.0","38.7","38.1","38.2","37.6","37.9","38.5","38.1","38.2","38.5","38.0","37.8","38.4","38.5","38.6","38.5","38.6","38.6","38.1","38.4","38.7","38.6","39.8","38.6","38.5","38.6"
"L49A","49","L","3","M","C","6,61","1","1","1","55","NA","1","NA","0","0","0","0","NA","NA","37.7","37.7","38.0","38.1","38.2","38.1","38.2","38.0","38.4","37.9","38.2","38.1","37.9","38.1","38.2","38.3","38.7","38.6","38.6","38.8","38.2","38.1","37.8","38.1","38.5","38.5","38.5","38.2","38.1","38.8","39.0","39.3","38.2","38.1","NA","NA"
"L49B","49","L","3","M","L","3,23","1","0","0","NA","NA","1","0","0","0","0","0","1","1","37.8","37.5","37.9","38.0","37.8","37.9","38.0","38.0","38.1","37.9","38.4","38.1","38.0","38.5","38.1","38.5","38.6","38.5","38.4","38.3","38.1","38.3","39.1","38.7","38.7","38.8","38.5","38.2","38.0","38.7","38.5","39.0","39.2","38.7","NA","38.1"
"L49C","49","L","3","F","C","1,85","0","0","0","NA","NA","0","0","0","0","0","0","0","0","37.5","37.8","38.0","38.0","37.9","37.8","38.1","37.9","38.2","37.8","38.1","38.2","38.0","38.3","37.9","38.2","37.8","38.1","38.2","38.0","38.3","38.4","38.4","38.6","38.1","38.6","38.7","38.0","38.2","38.7","38.5","38.7","38.3","38.2","39.1","38.6"
"L50B","50","L","7","F","L","2,29","0","0","0","NA","NA","0","0","0","0","0","0","0","0","37.5","37.4","37.5","37.7","37.6","37.5","37.6","37.9","37.6","37.8","38.2","38.0","37.8","37.8","38.1","37.9","38.1","38.3","38.1","38.3","38.0","39.3","38.4","38.6","38.2","38.5","38.4","38.6","38.3","38.5","37.8","38.6","NA","38.2","38.7","38.7"
"L50D","50","L","7","F","L","6,07","1","0","0","NA","NA","0","1","1","1","0","1","0","1","37.2","37.5","37.7","37.7","37.6","37.8","37.9","37.6","38.1","38.3","38.5","38.4","38.3","38.2","38.1","37.9","38.5","38.4","38.1","38.6","38.4","39.0","38.8","38.7","38.5","39.0","38.3","38.0","38.2","38.3","38.1","38.6","37.9","38.3","38.7","38.7"
"L50F","50","L","7","M","C","6,1","1","0","1","44","NA","0","0","0","1","0","1","0","1","37.2","37.2","37.7","38.0","38.0","37.1","37.8","37.7","37.5","37.3","37.6","37.2","37.4","37.7","36.8","37.7","37.9","38.6","37.9","38.1","37.6","38.4","38.5","38.4","37.9","38.8","38.2","37.9","38.4","38.7","37.9","38.8","38.2","38.4","39.0","38.7"
"L51C","51","L","7","F","C","9,24","1","0","0","NA","NA","0","0","0","0","1","0","0","1","37.5","37.7","37.5","38.1","38.0","37.8","38.3","37.8","38.1","38.6","37.9","38.0","38.3","37.4","38.3","38.0","37.9","38.6","38.1","38.7","39.3","38.6","38.6","38.6","38.2","38.6","37.8","38.4","38.0","38.9","38.1","38.4","38.1","38.2","38.1","38.3"
"L51D","51","L","7","F","L","0,35","0","0","0","NA","NA","0","0","0","0","0","0","0","0","37.5","37.7","37.8","38.2","38.0","37.6","37.8","37.9","38.1","37.1","38.0","38.2","38.2","37.3","37.7","38.1","37.9","38.6","38.4","37.9","38.7","38.5","38.3","38.8","38.6","38.3","38.0","37.8","38.3","38.8","38.1","38.5","38.5","38.6","38.9","38.3"
"L51F","51","L","7","F","L","11,83","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.5","37.7","37.7","37.8","38.0","37.2","37.9","37.5","37.8","37.8","37.2","37.9","38.4","37.5","38.2","38.1","38.6","38.5","38.4","38.3","38.6","38.3","37.7","38.8","37.8","38.5","37.7","38.7","38.0","38.6","38.2","38.3","38.3","38.1","37.8","38.8"
"L51G","51","L","7","F","C","2,54","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.0","37.8","37.2","37.8","38.0","37.4","38.0","37.7","38.1","38.0","37.8","38.1","38.2","37.1","38.4","38.5","38.3","38.4","37.9","38.1","38.3","38.1","38.6","38.7","38.2","38.2","38.3","37.5","38.4","38.7","38.2","38.5","37.9","38.1","38.4","38.5"
"L52B","52","M","4","F","L","2,14","0","0","0","NA","NA","0","0","0","0","0","0","1","1","37.4","37.3","37.5","37.2","37.7","37.6","37.0","37.7","38.3","38.0","38.1","38.2","38.1","38.4","38.1","38.0","38.1","38.4","38.2","38.6","38.1","37.9","38.4","38.4","38.5","37.8","38.8","38.5","38.6","40.1","38.7","38.3","38.6","38.4","40.0","40.4"
"L52E","52","M","4","M","C","3,72","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.7","37.7","37.6","37.4","37.6","37.8","38.0","38.0","38.2","37.8","37.8","38.1","37.9","38.0","38.0","37.8","38.2","38.1","38.2","38.1","37.9","38.4","38.7","37.8","38.5","38.4","38.6","38.4","38.1","39.0","38.8","38.2","38.6","38.4","38.3","38.4"
"L53A","53","S","1","F","C","2,12","0","0","0","NA","NA","0","0","1","0","1","0","0","1","37.5","37.5","37.6","37.7","37.9","37.1","37.5","37.4","37.5","38.7","37.9","38.0","37.9","37.9","37.8","37.4","37.9","38.1","37.8","39.4","NA","38.8","37.5","37.2","37.7","37.9","38.6","38.7","38.3","38.6","38.1","38.6","38.7","38.2","37.8","38.6"
"L54A","54","M","8","M","C","0,73","0","0","0","NA","NA","0","0","0","1","0","1","0","1","37.8","37.6","37.3","37.5","38.4","37.9","37.9","37.1","37.8","37.8","37.7","38.0","38.2","38.2","38.0","38.0","38.1","38.3","38.0","38.1","38.1","38.6","38.5","37.9","38.5","38.1","38.3","37.9","38.3","38.8","38.7","38.9","38.5","37.8","38.5","38.4"
"L54C","54","M","8","F","L","NA","NA","0","0","NA","NA","0","NA","0","0","0","0","NA","NA","37.2","NA","37.1","37.8","37.7","37.8","37.9","37.2","37.4","37.9","37.8","37.9","37.3","38.0","38.4","37.7","37.7","38.2","38.1","38.0","39.4","37.2","38.3","38.2","38.4","38.9","38.8","38.8","37.9","38.1","38.4","38.9","38.2","38.9","38.5","38.1"
"L54G","54","M","8","M","C","4,7","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.4","37.5","37.2","37.7","37.5","37.6","37.7","36.8","37.8","38.0","37.9","37.8","37.7","38.0","37.8","37.8","37.9","37.9","37.9","38.3","38.5","37.3","38.3","38.2","38.4","39.7","38.7","38.4","36.8","38.1","38.2","38.9","38.8","38.6","38.2","38.3"
"L55F","55","S","7","M","C","4,84","1","0","0","NA","NA","0","0","0","0","0","0","0","0","37.2","37.1","37.4","37.4","37.5","37.9","37.7","37.4","37.9","37.8","37.9","38.1","38.0","38.2","38.2","38.3","38.0","38.3","38.0","38.1","38.3","38.4","38.8","38.6","38.5","38.0","38.5","38.0","38.3","38.4","38.5","38.4","38.4","38.9","38.9","38.1"
"L55H","55","S","7","M","L","18,6","1","0","0","NA","NA","0","0","0","0","0","1","0","1","37.6","37.3","37.3","37.5","37.5","37.7","37.6","37.4","37.8","37.6","37.7","38.0","37.6","38.1","37.4","38.2","37.9","37.7","37.7","38.2","38.4","38.3","38.3","38.6","38.5","38.1","38.2","37.9","37.8","38.2","38.4","38.1","38.1","38.2","38.4","38.1"
