TRD21;TRD22;TRD23;TRD24;TRD25;TRD26;TRD27;TRD28;TRD29;TRD30;TRD31;TRD32;TRD33;TRD34;TRD35;TRD36;TRD37;TRD38;TRD39;TRD40;TRD41;TRD42;TRD43;TRD44;TRD45;TRD46;TRD47;TRD48;TRD49;TRD50;TRD51;TRD52;TRD53;TRD54;TRD55;TRD56
37,5;37,5;37,5;37,8;37,7;37,8;37,3;37,9;37,5;37,7;37,8;38,3;38;38,1;37,9;38;37,8;38,2;38;38,5;38,3;37,7;38,4;38,4;38,8;38,5;38,4;38,4;38,2;38,4;38,9;38,7;38,5;38,7;39;NA
37,4;37,8;37,3;37,8;37,8;37,6;37,3;37,3;37,7;37,5;37,3;37,6;37,8;38,1;38,1;37,7;38,2;38,1;37,7;37,9;37,8;37,8;38,4;38,4;38,2;38,5;38,2;38,4;37,4;37,8;39,1;38,1;38,7;37,7;37,9;38,3
37,3;37,5;37,6;37,5;37,4;37,5;37,7;37,7;37,6;37,8;37,8;37,8;38;38,3;38,1;38,1;38,1;38,2;38,1;38;37,8;38;38,2;38,3;38,9;38,5;38,5;38,2;38,4;38,1;38,8;39,1;37,4;38;38,2;37,6
37,3;37,8;36,9;37,9;37,5;37,7;37,7;37,7;37,8;37,8;37,8;37,9;38;38,3;37,9;37,7;38;38,1;38;38,3;38,4;37,8;38,1;38,3;38,4;38,6;37,8;38,4;38,4;38,4;38,9;38,3;38,5;38,6;38;NA
37,4;37,5;37,1;37,7;37,4;37,2;37,7;37,6;37,8;37,7;37,7;37,4;37,7;38,3;38,2;37,9;38,3;38,2;38,4;38,5;38;37,9;38,7;38,8;38,7;38,8;38,3;38,3;38,7;38,6;39,1;37,4;NA;NA;NA;NA
37,3;37,6;37,5;38;37,4;38,1;38;37,9;38;38,2;37,7;38,9;38,9;38,1;38,1;38;38,5;38,3;38;37,8;38,1;38,5;37,9;37,9;38,1;37,8;37,9;38;38,5;38,4;38,1;37,6;38,2;38,2;38,4;38,6
37,7;37,4;37,6;38,3;37,9;38;37,8;37,5;38,1;38,2;38,6;39,2;38,7;37,7;38,6;38,3;38,8;38,6;38,5;38;38,3;38;38,5;38,4;38,6;38,1;37,9;38,4;38,2;38,2;37,9;37,6;38;38;37,8;37,2
37,9;37,9;37,3;37,9;37,4;37,8;37,4;37,3;38,6;37,8;37,6;38,9;38,6;38,3;37,9;38;38,7;37,6;37,3;37,9;38,1;37,8;37,8;38,4;38,5;38,4;37,5;37,4;38,3;38,3;38,4;38,2;38,6;NA;38,7;37,6
38;37,7;37,6;38,1;37,6;37,8;37,6;37,8;37,9;36,8;38,2;38,6;38,4;38,2;38,5;38,1;38,2;37,6;38;38,1;37,8;37,9;37,9;38;37,9;38,4;37,2;38;38;38,1;38;38;38,1;37,6;36,8;37,6
37,7;37,3;36,7;37,3;37,7;37,4;37,5;37,2;37,3;37,4;37,4;37,6;37,6;37,4;38;37,6;37,7;37,9;37,4;37,7;38;37,9;37,9;37,5;37,8;37,6;37,6;37,8;39,4;39,4;37,6;37,8;34,8;35,9;NA;NA
37;37,3;37,6;37,4;37,4;37,5;37,5;37,6;37,5;38,1;37,8;38;37,2;37,9;38,1;38,5;38;38,3;37,8;38,4;37,9;38,2;38;38;38,8;38,2;38,2;37,9;38,7;38,4;38,4;38,5;38,4;38,3;38,7;39,4
37;37,5;37,4;37,9;37,8;37,5;37,8;37,3;37,8;38,1;37,6;37,8;37,8;37,8;37,8;38,5;38;38,1;38,2;38,5;38,2;38,7;37,9;38;38,5;38,2;38;38,4;38,6;38,5;37,7;37,4;38,7;37,8;38,6;37,7
37,3;37,4;37,6;37,7;37,2;37,7;37,6;37,6;37,9;38,1;38;38,2;37,9;38,1;38;38,1;38;38,3;38,3;38,5;38,3;38,7;38,8;38,5;38,5;38,2;38,2;37,9;38,2;39;38,7;38,6;38,2;37,9;38,4;39
36,7;37,1;37,4;37,5;37,2;37,8;37,7;37,3;37,9;38,1;37,6;37,9;37,9;38,4;38;37,9;38,3;38,4;38,2;38,3;38,1;38,3;38,4;38,2;38,2;38,3;38,4;37,5;38,7;38,7;38,6;39;39,3;38,7;38,6;37,5
37,4;37,1;37,5;37,5;37,7;37,5;37,7;37,7;37,4;38,1;37,8;38,2;37,2;38;37;38,1;38;38,3;38,1;38,4;37,6;38,1;38,1;37,8;38;37,5;NA;37,6;38,2;38,8;38,4;38;38,9;38;38,3;38,1
37,6;37,3;37,1;37,9;38,1;38,2;37,8;38,1;38,1;38,3;38;39,1;38,5;37,8;36,1;38,1;38;37,9;37,9;37,8;38,2;39,2;38,7;NA;NA;NA;NA;38;37,8;37,4;38,3;38;38;38,2;38,4;37,9
37,7;37,4;37,2;37,8;37,8;37,8;37,8;37,9;38,2;38;38,1;38,3;38,6;38,1;38,3;38,7;38,6;38,4;38,1;38,3;38,3;38,5;38,2;38,5;38,2;38,3;38,3;38,3;38,1;38,2;38,3;38,3;38;38,1;38,7;38,2
37,3;37;36,5;37,9;37,6;37,7;36,6;37,7;37,3;37,8;38,1;38,2;37,9;38,1;37,9;38,5;38,4;38,6;38,2;38,1;38,1;38,8;37,8;NA;NA;NA;NA;38,4;37,8;37,2;38;37,5;38;38,6;38,5;38,4
37,4;37;37,1;37,7;37,8;37,5;37,6;37,7;38;37,8;38,1;38,2;38,2;38,3;38;38,3;38,4;38,5;37,9;38,2;37,7;39,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
37,6;37,6;36,5;38;37,8;37,7;37,8;37,4;37,8;37,9;38;38;38,1;37,7;38;38,2;38,4;38,1;38,3;38,3;38,2;38,8;38,3;38,9;38,3;39,1;37,9;38,2;38;38,2;38,5;38,1;38,2;38,5;38,7;38,5
37,8;NA;NA;37,7;38;37,5;38,7;38;38,2;37,9;37,5;37,7;38;38,2;37,7;37,7;38,2;38,1;38,1;38;38,1;38,2;37,9;38,1;37,6;38,3;38,4;37,9;37,1;38,2;37,3;38,2;37,5;37,7;38,3;38,3
37,9;37,4;NA;38,2;37,6;37,5;37,9;37;38,5;37,9;37,5;37,8;37,9;38,4;38,1;38;38,4;38,1;38,1;38,1;37,7;38,2;38,2;38,7;38,1;38,2;38,3;38,4;38,2;38,1;38,3;38,8;38,7;38,4;38,3;38,6
37,4;37,2;37,1;37,1;37,4;37,7;37,2;38;38,5;38;37;37,7;37,9;38,3;38,3;38;38;38;38;37,9;38,1;38,4;38,2;38,1;38,1;38,4;38,7;37,8;38;38,3;38,5;38,5;38,5;38;37,9;38,2
37,5;37,4;37,5;37,4;37,9;37,9;37,8;38,3;37,6;38;38,7;37,9;38,1;38,2;38,2;38,1;38,2;38,4;38,5;38,5;37,8;38,4;38,3;38,6;38,3;38,7;38,7;37,4;38;38,5;38,8;38,5;NA;NA;NA;NA
37,4;37,6;37,3;37;37,6;37,9;38,1;37,6;38,1;37,7;37,6;38,2;38,1;38,1;38;37,9;38,3;38,3;38,3;38,6;38;38,9;38,3;38,1;38,2;38,5;39;38;38;38,5;38,9;38,2;38,9;38,5;38,1;38,7
36,8;37,6;37,2;36,7;37,3;37,8;37,8;37,8;37,8;38;37,8;38,2;38,1;38;38,1;38;38,1;38,4;38,1;38,2;38,1;38,3;38,4;38,1;38,1;38,1;39,3;38;38,4;38,3;38,2;38,5;38,9;38,9;38,1;38,5
37,3;37,4;37;37,3;37,1;37,9;38,1;38,2;38,6;38,1;38;38;37,8;38;38,4;37,9;38,1;38,4;38,4;38,6;38,2;38,8;38,4;38,5;38,6;38,7;38,8;37,4;38,1;38,3;38,5;38,5;38,6;38,7;38,2;38,5
37;37,3;37,7;37,7;37,4;38,2;37,4;37,9;37,6;38;37,7;37,8;38;37,8;38,1;37;37,8;37,8;38,2;37,8;37,9;38,4;38,2;38,2;38,3;38,2;38,7;37,8;37,3;38,1;38;38,3;38,4;38,4;38,6;38,9
37,7;37,2;37,7;37,4;37,2;37,6;37,4;37,8;37,4;37,8;37,8;37,6;37,7;37,5;38;37,9;37,7;37,5;38,2;37,9;38,1;38,4;NA;38,1;38,3;37,9;38,6;37,4;37,3;37,6;38,1;38,6;38,2;38,2;38,2;39,1
37;36,6;37,4;37,6;37,3;37,9;37,8;37,6;37,8;37,8;37,8;37,5;37,9;37,9;38,8;37,9;37,7;38;37,7;38,2;37,6;37,9;38,1;38,4;37,9;37,8;38,1;37,7;38,2;38,3;38,2;38,2;39,2;38,2;38,3;38,3
37,3;37,4;37,8;37,6;37,6;37,8;37,6;37,8;38,1;37,7;38,2;37,9;38;37,6;38,1;37,9;37,9;38;37,9;35,1;38;37,9;38,1;38,5;38,2;37,7;37,9;37,9;37,9;38,4;38,2;38,4;38,5;38,3;38,3;38,8
36,1;37,3;37;37,5;36,8;37,8;37,9;37,4;38;38;37,6;37,7;37,9;37,9;38;37,8;38,2;38;38,1;37,7;38;38,3;38;38;38,2;37,9;37,9;38,2;38,1;38,1;38,1;38,8;38,7;38,4;38,3;38
37,3;37,1;37,7;37,8;37,6;37,9;37,8;37,6;37,9;37,6;38;37,7;38;38;38,2;38,2;38,2;38;38,1;NA;38,1;38,2;38,2;38,2;38,4;38,1;38;38;38,5;38,2;38,3;38;38,9;38,6;38,1;38,3
37,5;37,6;37,1;38,1;37,6;37,7;37,9;37,7;38,1;38;38;38,1;38,2;38,1;38,2;38,3;38,1;38,5;38,5;38,2;38,2;38,1;39,4;38,5;38,4;38,3;38,3;38;38,2;38,4;38,3;38,5;38,4;38,6;38,1;38,2
37,3;37,1;37,5;37,9;37,7;37,9;37,8;37,9;37,8;37,8;38;38,4;38,3;38;37,9;38,5;38,1;38,3;38,3;38,3;38,7;38,2;38,3;38,6;39;38,1;38,1;38;38,2;38,2;37,8;38,8;38,2;38,5;38,4;38,9
37,4;37,6;37,4;37,8;37,9;37,6;38,1;38;37,6;38;38;38,1;38,2;37,8;38,5;38,3;38,1;38,3;38,5;38,3;38,2;38,6;38,6;38,9;38,6;38,4;37,2;38,1;38,5;38,7;38,8;38,5;38,2;38,4;37,5;37,7
37,2;37,3;37,8;37,8;37,9;37,8;37,8;37,6;37,7;37,7;38;37,8;38,2;38,2;38,5;38;38,2;NA;38,2;38,3;38,6;38,6;38,9;37,9;37,7;38,3;38,5;38,2;38,2;38,5;38,5;38,5;38;37,9;37,9;38,7
37;37,6;37,8;38,1;37,9;37,9;38,3;38,3;38,1;38,1;38,4;38,3;38,2;38,3;38,4;38,7;38,3;39,5;NA;NA;NA;38,7;38,6;38,3;38,1;38,7;38,8;38,1;38,8;37,4;37,8;37,9;39,2;39,2;38,2;38,7
37,2;37,6;37,9;37,9;37,9;37,8;37,6;37,7;37,8;37,7;38,4;38,3;38,1;38,1;38,1;38,5;38,3;38,5;38,5;38,7;38;37,7;37,9;38,6;38,7;38,3;37,8;38,3;38,3;38,6;38,3;38,6;38,7;38,4;38,4;38,5
37,1;37,7;37,5;38,1;37,6;38,2;38;37,5;38,3;38,1;38,1;38;38,1;38,2;38,5;38,6;38,3;38,7;38,3;38,9;38,4;38,6;38,9;37,9;38,3;38;37,6;38,2;38,8;37,8;39;38,1;38,2;37,9;38,3;NA
36,9;38;37,8;38;37,8;37,8;38,5;38,2;38,4;38,3;38,4;38,2;38,1;38,1;38,3;38,6;38,5;38,7;38,6;38,6;38,7;39;38,6;38,3;38,7;38,7;38,1;38,5;38,4;38,1;38;39,2;39,5;38,4;NA;NA
37,2;37,7;37,6;38;37,8;38,3;38,1;37,6;38;38,3;38,3;38,5;38;38,1;38,6;38,5;38,6;39;38,8;38,8;38,3;38,7;38,6;38,1;38,2;38,1;38,2;38,1;37,7;38,9;39,3;38,5;39,3;38,2;39,9;NA
37,4;37,6;37,4;37,8;37,7;38,5;37,9;37,9;38,6;38,4;38,4;38;38,1;38,3;37,9;38,5;38,6;38,4;38,7;38,6;38,5;38,3;38,1;38,5;38,1;38,3;39,1;38,9;38,6;38,7;NA;38,5;38,7;38,2;38,3;NA
37,5;37,7;37,3;37,5;37,4;37,8;38,1;37,9;37,7;38;38;38,2;38,2;38,2;38,4;38,6;38,4;NA;38,4;38,8;38,7;38,9;38,9;38,6;38,5;38,4;38,5;38,4;38,2;38,6;39,4;NA;39;38,2;39,2;NA
37,3;37,3;37,7;37,9;37,3;38,3;38;38,2;38,3;38,1;38,6;38,2;38,1;38,5;38,6;38,7;38,6;38,4;38,3;38,7;38,9;38,9;39,2;38,5;38,5;38,2;38,6;38,2;38,6;38,5;39,4;NA;38,7;38,5;38,3;38,4
37,3;37;37,6;37,8;37,6;37,1;36,8;36,8;37,2;37,7;38,1;37,9;37,7;37,5;37,9;37,8;38,5;38;NA;38,5;38,1;38,1;38,4;37,6;39,2;37,7;38;38,6;38,2;38,1;38,7;38,8;38,8;NA;NA;NA
37,1;37,1;37,6;37,6;37,8;37,4;37,6;37,3;37,3;37,8;37,6;38,4;37,9;38,2;38;37,9;38,5;38,1;39,2;38,1;38,2;38,1;37,8;38,6;38,6;38,5;37,8;38,9;38,4;38,1;38,1;38,9;38,5;38,5;38,8;38,7
37,2;37;37,7;37,4;37,3;37,7;37,5;36,7;37;37,7;37,9;37,8;37,6;38;37,8;37,9;38,6;37,3;38;38,1;37,8;38,3;38,3;38,3;38,2;38,1;38,6;38,7;38,3;38,5;38,3;38,4;38,9;38,4;40,2;39
36,9;37;37,3;37,3;37,6;37,3;37,2;37,6;37;37,9;37,6;37,9;37,9;37,8;38,3;37,9;38,2;38;38,4;38,5;38,2;38,5;38,3;38,8;38;38,6;38;38,6;38,5;38;38,1;38,9;36,6;38,5;38,7;NA
37,4;37,7;37,8;37,1;37,3;37,6;37,4;37,4;37,5;38,1;37,8;38,6;38,1;38,5;38,4;38,2;38,5;38,1;38,5;39,3;38,4;38,9;38,5;38,8;38,8;38,4;38;38,6;38,5;38,3;38,3;39;38,8;38,5;39,7;39,5
37,7;37,4;37,6;37,4;37,6;37,4;37,1;36,8;37,8;37,8;37,8;37,4;37,8;38;37,5;37,9;38,5;38,2;38,8;38,5;38,6;38,2;38,2;38,4;38,4;38,4;38,1;38,8;39;38,6;38,6;38,2;39,1;38,2;39;38,1
37;37,5;37,6;37,4;37,9;37,3;37,4;36,9;37,7;37,6;37,4;37,4;37,7;38,1;38,5;38,2;38,4;38,2;NA;NA;NA;37,9;38;37,8;37,2;37,4;37,6;38,1;38,5;38,4;37,9;39;38,4;38,1;38,1;39,3
37,1;37;37;37,3;37,4;37,3;37,2;36,9;37,1;37,7;37,7;37,8;38;38,1;38;37,3;38,3;37,7;38,3;38,3;38,1;38,1;38,4;38,4;38,3;38,2;37,4;38,2;38,7;38,3;38,1;38,7;38,9;38,5;38,3;39,3
37,1;37,2;37,6;37,6;37,6;37,4;NA;37,1;37,8;37,8;37,7;37,8;37,8;38,2;38;37,9;38,8;38,3;38,4;NA;38,3;38,6;38,7;38,9;38,5;38,7;38,4;38,6;39;38,6;37,8;38,6;38,5;39,5;39,3;38,8
37;37,8;37,1;37;37,3;37,4;37,1;37,3;37,5;37,8;37,8;38;NA;37,3;37,6;37,7;37,7;38,1;37,9;37,7;38;38,2;38,4;37,5;37,9;38;38;38,7;37,9;38,4;38,8;38,7;38,4;38,1;39;39,3
37,1;37,5;37,6;37,4;37,1;37,5;37;37,6;38;37,4;37,8;38,1;38,2;38;37,7;38,3;38;38,2;37,9;38,4;38,3;38,1;38,7;37,8;37,8;38,1;37,9;38,6;38;38,6;38,9;39,6;38,7;NA;38,4;39,6
37,3;37,7;37,4;37,6;37,3;37,4;37,6;37,2;37,9;37,7;37,8;37,4;38;37,9;38;37,8;38,2;37,5;38;37,9;37,8;38,4;38,4;38;38;38,1;38,3;38,7;38;38,1;38,7;38,2;38,4;38,3;38,2;38,6
36,4;37,5;36,9;37,1;37,6;37,4;37,6;37,7;37,7;37,8;37,6;37,5;37,9;38,1;37,9;38;38,1;37,9;38,1;37,9;37,7;38,5;38,2;37,4;38,1;37,7;38;38,7;38,4;37,9;38,6;38,9;39;38,6;37,6;37,8
36,8;37,3;37;37,3;37,1;36,9;37,7;37,3;37,6;37,6;37,8;37,3;37,7;37,6;37,8;37,3;37,7;38,1;37,9;37,8;37,9;38,2;38,3;37,1;37,3;37,7;37,9;38,4;37,6;38,7;37,3;37,9;38,3;38,3;38,4;38,5
37,3;37,4;36,9;37;37,6;37,3;37,6;37,5;37,7;37,7;38;38;37,8;37,8;37,6;38,2;37,8;37,9;37,9;37,9;36,1;37,8;38,5;38,2;38,1;38,1;38;38,3;38,1;38,4;38,5;38,2;38,3;38,3;39,6;38,7
37,1;37,3;37,3;37,5;38;37,8;37,9;37,9;37,8;38;37,9;37,9;38,4;38,6;37,8;38,5;38,1;38,2;38,4;37,8;38,4;38,3;37,3;37,3;38,1;38,3;38,5;38,4;38,2;38,4;37,4;NA;NA;NA;NA;NA
37,3;37;37;37,3;37,6;37,5;37,6;38;37,8;37,5;37,8;37,5;38,4;38;37,8;38,9;NA;38;38;38,3;38,2;37,2;37,7;37,2;37,7;37,6;38,7;37,9;38,3;38,4;37,2;NA;NA;NA;NA;NA
37,3;37,3;37,3;37,1;37,8;37,7;37,9;37,8;37,5;37,6;38,1;37,9;38,2;38;37,9;38,1;37,4;38,1;38,3;38,3;38,4;38;37,8;38,2;38,3;38,1;38,2;38,2;39,6;38,6;37,8;NA;NA;NA;NA;NA
37,1;37;37;37,3;37,9;37,6;37,8;38;37,6;37,8;38;37,9;37,9;38,3;37,8;38,1;37,7;37,8;37,9;37,9;38,7;37,2;37,6;37,7;38,4;38,3;38,4;38,8;38,8;38,5;38;NA;NA;NA;NA;NA
37,3;37,3;37,3;37,4;37,8;37,7;38;37,6;37,8;37,5;37,7;37,9;38,2;38,2;38,4;38,2;37,9;38,5;38,5;38,2;38,6;37,8;37,5;37,9;37,8;37,1;38,3;38,3;38,8;38,8;38,2;NA;NA;NA;NA;NA
37,4;37,6;37,7;37,8;37,9;37,9;38,1;37,8;38,1;38;38,1;38,2;38,3;38,4;38,4;38,4;38,6;38,1;38,5;38,7;37,7;38,5;38,8;38,8;38,5;38,4;38,4;39,3;38,6;38;38,6;37,7;38;37,8;38,3;38,3
36,8;37,4;37,6;37,4;37,7;37,9;38,1;37,6;37,5;38,3;38,1;38,2;38,2;38,2;38,3;37,8;38,2;37,9;38,4;38,7;37,7;38;NA;37,5;38,1;38,1;38,5;38,7;38,7;38,8;39,1;38,4;37,6;38,2;NA;NA
36,9;37,4;37,5;37,7;37,8;37,7;37,8;37,7;37,8;38;38,1;38,2;37,6;37,8;38,6;38,2;38,1;37,9;38,5;38,4;37,9;37,9;38,1;38,1;38,4;38,3;38,4;38,1;38,3;38,9;39;38,5;38,1;37,9;38,5;38,1
37,3;37,3;37,6;37,5;37,7;37,4;37,9;37,7;37,9;38;38;38;37,9;38,2;38,8;38,2;38,4;38,2;38,6;38,8;37,7;38,4;38,4;38,5;38;38,2;38,4;38;37,8;38,2;38,6;38,8;38,6;38;38,8;38,6
36,9;37,4;37,4;37,8;37,6;37,7;38;37,7;38,2;38,3;37,7;38,8;38,4;38,3;38,5;38;38,3;37,7;38,6;38,8;37,6;37,6;37,4;38,1;38,1;38,5;38,6;38,3;37,6;38,1;NA;NA;NA;NA;NA;NA
37;37,7;37,2;37,4;37,8;37,7;38;37,8;38;38,1;38,1;38,1;NA;38,4;38,7;38,7;38,6;38,3;38,6;38,4;36,9;37,3;38,6;38,3;38;38,2;38,4;38;38,2;38,4;38,8;36,5;37,4;37,9;NA;37,5
36,8;37,6;37,2;37;37,6;37,9;37,6;37,5;38,1;38,2;38,6;38,3;38,3;38,4;39,1;38,4;38,7;38,2;38,6;38,6;37,7;38,3;37,7;38,3;38,5;38,7;NA;38,4;37,7;38,4;37,8;NA;38,1;37,7;NA;NA
37,8;37,6;37,6;37,4;37,7;37,8;38,2;38,1;37,9;37,9;37,8;38,4;38,4;37,9;37,8;38,1;38;37,4;38,2;38,4;38,9;38;38,2;38,2;38,2;37,9;38,5;38,4;38,3;38,5;38,6;39;39,2;39,3;38,4;NA
37,1;37,5;37,2;37,2;37,8;37,7;37,9;37,2;38;37,9;37,6;38;37,9;37,7;38,1;37,6;38,1;37,6;38,1;38,1;37,9;37,8;38;37,8;37,8;38,3;38,3;37,7;38,2;38,1;38,1;37,9;38,5;38,1;37,7;38,6
37,4;37,5;37,5;36,9;37,9;38;37,5;37,8;37,9;37,7;37,2;38,1;37,7;37,7;37,9;37,7;37,9;37,9;38;39;37,8;38,8;38,7;38,1;38,4;38,7;38,7;38,4;38,6;38,3;38,4;38,6;38,2;38,2;38,3;37,9
37,1;37,6;37,4;37,5;37,9;37,8;37,7;37,9;38,3;38;38,1;38,4;38,1;37,9;37,9;37,7;38,2;37,8;37,2;38,8;38;37,9;38,4;38;37,8;38,2;38,3;38,3;38,5;38,1;38,4;38,7;39,2;38,5;37,8;38,1
37,4;37,3;37,4;37,4;37,7;37,8;37,7;38;38;37,9;37,9;38;38,1;38,1;38,9;38,3;38,1;37,6;37,9;38,3;38,3;37,9;38,7;38,5;38,4;37,7;38,4;38,3;38,6;38,2;38,4;37,9;38;38;38,4;37,7
37,3;37,3;37,3;37,5;37,8;NA;38;37,7;37,8;37,6;37,8;38,1;37,9;37,9;38,1;37,3;38,1;38;38,4;38,3;37,7;38,2;38,4;38,3;38,2;37,9;38,4;38;38,7;38,4;38,4;39,4;38,4;38,1;38,4;37,8
36,8;36,8;37;37,2;37,5;37,8;37,6;36,8;37,3;37,7;37,5;37,7;36,9;37,7;37,6;37,7;38,3;38,2;38,2;38,1;37,9;37,7;37,7;37,5;37,4;38;38,4;37,4;38,2;38,2;38;39;37,9;37,3;36,8;38
37,4;37,3;37,9;37,9;37,7;37,6;37,9;38,2;38,2;38,2;38,1;37,9;38;38,2;37,9;38,2;37,9;37,9;37,1;37,9;38,2;37,7;38,6;37,7;38,3;37,9;37,8;38,1;38,3;38,6;38,2;38,3;38;37,9;38;38,2
37,6;37,6;37,8;37,8;37,9;38,4;38;38,1;38;37,9;38;37,5;37,9;38,2;37,7;38,6;36,7;37,4;38,4;37,8;38;38,1;37,8;38;37,9;37,8;38,2;37,7;38,1;38,5;38,2;38,6;38,4;38,5;37,9;39
37,7;37,8;38;38,2;37,8;37,3;38;38;38,4;38,1;38,3;37,4;38;37,8;38,3;38,6;37,3;37,7;37,6;38,1;37,9;37,8;38,3;38,2;38,6;37,8;38,2;37,6;38,4;38,7;37,8;38,6;38,4;37,9;NA;38,9
37,6;38;38,3;37,7;38,5;NA;38,1;38,1;37,8;38,2;38,5;37,4;37,6;38,1;38;38,4;38;38,2;38,6;38,2;38,4;38,2;37,9;38;37,7;37,3;38,4;38,4;38,1;38,6;37,7;39,6;38,2;38,5;38,5;38,6
